"Reference","Value","Footprint","LCSC Part #"
"C1,C2,rC1,rC2","27p","Capacitor_SMD:C_0402_1005Metric",""
"C3,C4,C7,C9,C10,C12,C13,C14,C15,C202,C205,C302,C306,C309,C501,rC3,rC4,rC7,rC9,rC10,rC12,rC13,rC14,rC15","100n","Capacitor_SMD:C_0402_1005Metric","C133086 "
"C5,C8,C16,rC5,rC8,rC16","1u","Capacitor_SMD:C_0402_1005Metric",""
"C6,C11,rC6,rC11","10u","Capacitor_SMD:C_0402_1005Metric",""
"C201,C204,C301,C305","4u7","Capacitor_SMD:C_1210_3225Metric","C2158392 "
"C203,C206,C216,C303,C307,C308","10n","Capacitor_SMD:C_0402_1005Metric","C77013"
"C310,C505","560p","Capacitor_SMD:C_0402_1005Metric","C76975 "
"EXLED1,EXLED2,LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,rEXLED1,rEXLED2,rLED1,rLED2,rLED3,rLED4,rLED5,rLED6,rLED7,rLED8,rLED9,rLED10,rLED11,rLED12,rLED13,rLED14,rLED15,rLED16,rLED17,rLED18,rLED19,rLED20,rLED21","YS-SK6812MINI-E","kbd_local:YS-SK6812MINI-E",""
"EXSW1,EXSW2,rEXSW1,rEXSW2","RotaryEncoder_Switch","kbd_local:keyswitch_cherrymx_hotswap_1u_rotary_encoder_ec12",""
"FB201,FB202,FB301,FB302","33R","Inductor_SMD:L_1206_3216Metric","C6750934"
"J3,rJ3","Conn_01x04","kbd_local:OLED",""
"J4,rJ4","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J201,J301","USB_C_Receptacle_USB2.0_14P","keyboard_ohne_emi:USB4105","C3020560 "
"J202,J302","PJ-332D-6A","keyboard_ohne_emi:PJ-332D-6A","C840336"
"R1,R2,rR1,rR2","5.1k","Resistor_SMD:R_0402_1005Metric",""
"R3,R6,rR3,rR6","1k","Resistor_SMD:R_0402_1005Metric",""
"R7,rR7","10k","Resistor_SMD:R_0402_1005Metric",""
"R8,rR8","5.6k","Resistor_SMD:R_0402_1005Metric",""
"R9,R201,R202,R203,R301,R302,R303,rR9","10K","Resistor_SMD:R_0402_1005Metric",""
"R304,R503","330","Resistor_SMD:R_0402_1005Metric","C105875"
"rSMDSW1,rSMDSW2,SMDSW1,SMDSW2","TS-1088R-02026","kbd_local:TS-1088R-02026","C455280"
"rSW1,SW1","SW_Push","kbd:keyswitch_cherrymx_hotswap_1.5u",""
"rSW2,rSW3,rSW4,rSW5,rSW6,rSW7,rSW8,rSW9,rSW10,rSW11,rSW12,rSW13,rSW14,rSW15,rSW16,rSW17,rSW18,rSW19,rSW20,rSW21,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW20,SW21","SW_Push","kbd:keyswitch_cherrymx_hotswap_1u",""
"rU1,U1","RP2040","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","C2040"
"rU2,U2","NCP1117LPST33T3G","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C146799"
"rU4,U4","W25Q128JVSIQ","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","C113767"
"rY1,Y1","12MHz 18pF","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C91749"
"U201,U202,U302,U303","USBLC6-2P6","ESP32-S3-CaV2:USBLC6-2P6","C15999"
"U304,U501","74LVC1G07","Package_TO_SOT_SMD:SOT-353_SC-70-5","C7830 "
