Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","27p","C_0402_1005Metric",-239.821998,50.788750,0.000000,bottom
"C2","27p","C_0402_1005Metric",-241.821998,50.788750,180.000000,bottom
"C3","100n","C_0402_1005Metric",-243.801998,52.888750,180.000000,bottom
"C4","100n","C_0402_1005Metric",-240.901998,62.688750,90.000000,bottom
"C5","1u","C_0402_1005Metric",-243.564500,62.688750,90.000000,bottom
"C6","10u","C_0402_1005Metric",-211.764500,54.050000,90.000000,bottom
"C7","100n","C_0402_1005Metric",-243.801998,51.888750,180.000000,bottom
"C8","1u","C_0402_1005Metric",-244.564500,62.688750,90.000000,bottom
"C9","100n","C_0402_1005Metric",-236.264500,56.750000,0.000000,bottom
"C10","100n","C_0402_1005Metric",-246.701998,56.788750,180.000000,bottom
"C11","10u","C_0402_1005Metric",-222.201998,56.788750,180.000000,bottom
"C12","100n","C_0402_1005Metric",-246.601998,59.988750,180.000000,bottom
"C13","100n","C_0402_1005Metric",-246.601998,61.088750,180.000000,bottom
"C14","100n","C_0402_1005Metric",-236.301998,60.088750,0.000000,bottom
"C15","100n","C_0402_1005Metric",-241.901998,62.688750,90.000000,bottom
"C16","1u","C_0402_1005Metric",-227.164500,58.550000,180.000000,bottom
"C201","4u7","C_1210_3225Metric",-186.501998,106.588750,0.000000,bottom
"C202","100n","C_0402_1005Metric",-191.401998,107.488750,180.000000,bottom
"C203","10n","C_0402_1005Metric",-182.301998,103.388750,-90.000000,bottom
"C204","4u7","C_1210_3225Metric",-189.801998,54.888750,-135.000000,bottom
"C205","100n","C_0402_1005Metric",-184.201998,55.488750,0.000000,bottom
"C206","10n","C_0402_1005Metric",-183.601998,59.488750,-90.000000,bottom
"C216","10n","C_0402_1005Metric",-176.601998,103.788750,-90.000000,bottom
"C301","4u7","C_1210_3225Metric",-149.101998,54.888750,45.000000,bottom
"C302","100n","C_0402_1005Metric",-153.401998,52.088750,90.000000,bottom
"C303","10n","C_0402_1005Metric",-158.401998,52.588750,180.000000,bottom
"C305","4u7","C_1210_3225Metric",-144.401998,107.388750,90.000000,bottom
"C306","100n","C_0402_1005Metric",-142.701998,104.588750,0.000000,bottom
"C307","10n","C_0402_1005Metric",-157.501998,104.188750,180.000000,bottom
"C308","10n","C_0402_1005Metric",-151.801998,104.188750,0.000000,bottom
"C309","100n","C_0402_1005Metric",-134.801998,41.188750,0.000000,bottom
"C310","560p","C_0402_1005Metric",-136.601998,37.988750,-90.000000,bottom
"C501","100n","C_0402_1005Metric",-196.581998,49.788750,180.000000,bottom
"C505","560p","C_0402_1005Metric",-192.901998,48.988750,90.000000,bottom
"EXLED1","YS-SK6812MINI-E","YS-SK6812MINI-E",-181.152000,90.387500,180.000000,bottom
"EXLED2","YS-SK6812MINI-E","YS-SK6812MINI-E",-181.152000,71.337500,180.000000,bottom
"EXSW1","RotaryEncoder_Switch","keyswitch_cherrymx_hotswap_1u_rotary_encoder_ec12",-181.152000,95.150000,180.000000,bottom
"EXSW2","RotaryEncoder_Switch","keyswitch_cherrymx_hotswap_1u_rotary_encoder_ec12",-181.152000,76.100000,180.000000,bottom
"FB201","33R","L_1206_3216Metric",-190.101998,104.588750,90.000000,bottom
"FB202","33R","L_1206_3216Metric",-185.301998,58.388750,-90.000000,bottom
"FB301","33R","L_1206_3216Metric",-156.301998,50.888750,0.000000,bottom
"FB302","33R","L_1206_3216Metric",-142.801998,101.688750,90.000000,bottom
"J201","USB_C_Receptacle_USB2.0_14P","USB4105",-179.001998,108.988750,0.000000,bottom
"J202","~","PJ-332D-6A",-171.101998,60.488750,180.000000,bottom
"J301","USB_C_Receptacle_USB2.0_14P","USB4105",-154.601998,108.988750,0.000000,bottom
"J302","~","PJ-332D-6A",-162.601998,60.488750,-0.000000,bottom
"LED1","YS-SK6812MINI-E","YS-SK6812MINI-E",-181.765828,41.339320,-113.880000,bottom
"LED2","YS-SK6812MINI-E","YS-SK6812MINI-E",-200.202000,61.812500,180.000000,bottom
"LED3","YS-SK6812MINI-E","YS-SK6812MINI-E",-200.202000,80.862500,180.000000,bottom
